id	multi	contrast	logFC	PValue	FDR	peptide_ids	phospho_ids	proteins	protein	gene_name	protein_names	sequence_length	n_razor_unique	reverse	contaminant
6634	1	Gib-WT	-0.0214	0.751	0.792	12492;20440;20441;24171;36696;39890;43524;48041;56049	6787;6788;6789;6790;6791	Q96GU1;Q5JUL1	Q96GU1;Q5JUL1	PAGE5	P antigen family member 5	130	9	NA	NA
6636	1	Gib-WT	0.19	0.00962	0.0185	7457;32437;32438	6793	Q96GX2	Q96GX2	ATXN7L3B	Putative ataxin-7-like protein 3B	97	3	NA	NA
6637	1	Gib-WT	-0.638	6.75e-6	6.87e-5	8123;8407;15075;21936;33805	6794;6795	Q96GX5;A0A087WUU7	Q96GX5;A0A087WUU7	MASTL	Serine/threonine-protein kinase greatwall	879	4	NA	NA
6638	1	Gib-WT	0.0788	0.246	0.305	8146;18079;22660;22748;34814;59104	6796	Q96GX9;S4R3D6	Q96GX9;S4R3D6	APIP	Methylthioribulose-1-phosphate dehydratase	242	6	NA	NA
6639	1	Gib-WT	-0.241	5.15e-4	0.0016	19646;19673;33076;54000;57528;60186	6797	Q96GY0;H0YAP0	Q96GY0;H0YAP0	ZC2HC1A	Zinc finger C2HC domain-containing protein 1A	325	6	NA	NA
6640	1	Gib-WT	0.247	0.0741	0.108	7002;14731;25673	6798;6799;6800	Q96GY3;K7EMY4	Q96GY3	LIN37	Protein lin-37 homolog	246	3	NA	NA
6643	1	Gib-WT	0.0897	0.316	0.378	21855;21954;37048	NA	Q96H20;H0Y8S5;D6RBI1;D6RJ86;D6RFY6;I3L457;I3L2X5	Q96H20;H0Y8S5;D6RBI1;D6RJ86;D6RFY6	SNF8	Vacuolar-sorting protein SNF8	258	3	NA	NA
6644	1	Gib-WT	-0.269	4.48e-4	0.00144	4375;21472;24374;30846;46631;52646	NA	Q96H55;A0A087WZQ9;A0A087WU55;A0A087WY49	Q96H55	MYO19	Unconventional myosin-XIX	970	6	NA	NA
6645	1	Gib-WT	0.178	0.0401	0.0633	35507;40363;57924	NA	Q96H79	Q96H79	ZC3HAV1L	Zinc finger CCCH-type antiviral protein 1-like	300	3	NA	NA
6646	1	Gib-WT	0.146	0.0067	0.0136	215;970;6796;10591;32957;34689;43462;45626;54063;57320;58973	6804	Q96HA7;A0A087X1F6	Q96HA7	TONSL	Tonsoku-like protein	1378	11	NA	NA
6647	1	Gib-WT	-0.0924	0.0441	0.0687	4036;4871;15939;18185;26139;26848;30965;38458;41482;47664;57824;60527	NA	Q96HC4;H0Y8Y3;A0A0A0MSP3;A0A0D9SFR4;H0YBI4;H0Y929	Q96HC4;H0Y8Y3	PDLIM5	PDZ and LIM domain protein 5	596	12	NA	NA
6648	1	Gib-WT	-0.0486	0.346	0.41	6135;6945;16378;25385;25712;30343;30930;31471;33087;42665;45332;60354	NA	Q96HE7;G3V3E6;G3V5B3;G3V2H0;G3V503	Q96HE7;G3V3E6	ERO1L	ERO1-like protein alpha	468	12	NA	NA
6649	1	Gib-WT	0.704	2.56e-7	1.03e-5	3529;31140;47683	6805;10174	Q96HE9;J3QKY4;J3QR53	Q96HE9	PRR11	Proline-rich protein 11	360	3	NA	NA
6650	1	Gib-WT	-0.326	0.00268	0.00629	13690;17244;29884	6806	Q96HI0	Q96HI0	SENP5	Sentrin-specific protease 5	755	3	NA	NA
6653	1	Gib-WT	-0.41	1.04e-4	4.76e-4	2566;5086;33235	NA	Q96HP0;K7ESB7	Q96HP0;K7ESB7	DOCK6	Dedicator of cytokinesis protein 6	2047	3	NA	NA
6655	1	Gib-WT	-0.0661	0.386	0.451	15786;24649;37694;49155	6807;10175	Q96HR3	Q96HR3	MED30	Mediator of RNA polymerase II transcription subunit 30	178	4	NA	NA
6657	1	Gib-WT	0.193	2.15e-4	8.2e-4	2171;2750;12133;14290;23001;23408;26505;29053;33440;33441;38574;38888;39024;39881;42819;51768	NA	Q96HS1;F5GXG4	Q96HS1	PGAM5	"Serine/threonine-protein phosphatase PGAM5, mitochondrial"	289	16	NA	NA
6658	1	Gib-WT	-0.0164	0.814	0.844	3569;4908;9617;24880;34452;35094;41872;43905;50021;50312;57191;58331	6809	Q96HW7;E9PIM3;F8WAA7	Q96HW7	INTS4	Integrator complex subunit 4	963	12	NA	NA
6659	1	Gib-WT	-0.382	5.37e-5	2.87e-4	14332;15273;34488;39730;52068	NA	Q96HY7;C9JWN1;H7C1J3	Q96HY7;C9JWN1	DHTKD1	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	919	5	NA	NA
6660	1	Gib-WT	-0.0986	0.017	0.0304	624;1447;1579;6379;7651;13008;16283;18677;22064;25767;25792;25793;25824;27545;36173;36202;36203;37909;41787;41924;43386;46114;53662;53663;55374	6810;6811;6812	Q96I24;A0A494C1K6	Q96I24	FUBP3	Far upstream element-binding protein 3	572	22	NA	NA
6661	1	Gib-WT	0.0951	0.00919	0.0178	408;874;22510;22568;24999;28227;31766;37709;37710;40644;42059;43328;43329;46998;46999;47060;47675	6813;6814;6815;10176	Q96I25;Q5W010;Q5W011;Q5W012;H0Y6J6	Q96I25;Q5W010;Q5W011;Q5W012	RBM17	Splicing factor 45	401	17	NA	NA
6662	1	Gib-WT	0.0819	0.0532	0.0809	9686;10546;22237;28558;29645;57987;58277	NA	Q96I51;A0A087WT38	Q96I51;A0A087WT38	WBSCR16	Williams-Beuren syndrome chromosomal region 16 protein	464	7	NA	NA
6664	1	Gib-WT	-0.158	0.00345	0.00776	5885;8016;8017;9129;11001;16622;21947;23997;25252;25478;34792;41155;44385;45029;47724;56555	NA	Q96I99;E9PDQ8;H0Y852	Q96I99;E9PDQ8	SUCLG2	"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial"	432	16	NA	NA
6665	1	Gib-WT	0.114	0.0206	0.0357	11464;18293;21388;23459;23461;29921;34100;45685;48304;52968	6816;6817	Q96IF1;H0YJL9	Q96IF1	AJUBA	LIM domain-containing protein ajuba	538	10	NA	NA
6666	1	Gib-WT	-0.22	2.02e-4	7.82e-4	6917;10978;26061;34445;41820;49540;56173;58828	6818;6819	Q96II8;E9PD99;H7C0J8;H7C1G3	Q96II8;E9PD99	LRCH3	Leucine-rich repeat and calponin homology domain-containing protein 3	777	8	NA	NA
6667	1	Gib-WT	0.136	0.0101	0.0193	6068;35004;38070;44047;60207	NA	Q96IJ6;F8WD54;A0A087WUI8;C9JAH0;A0A0U1RRC2;C9J255	Q96IJ6;F8WD54;A0A087WUI8;C9JAH0	GMPPA	Mannose-1-phosphate guanyltransferase alpha	420	5	NA	NA
6668	1	Gib-WT	0.0572	0.132	0.177	798;2789;6974;24970;40095;42070;54676	NA	Q96IK1;H7C5I4;C9J8U9	Q96IK1	BOD1	Biorientation of chromosomes in cell division protein 1	185	5	NA	NA
6669	1	Gib-WT	-0.0772	0.246	0.305	3764;22428;40210	NA	Q96IR7	Q96IR7	HPDL	4-hydroxyphenylpyruvate dioxygenase-like protein	371	3	NA	NA
6671	1	Gib-WT	0.24	5.36e-4	0.00165	5865;10874;12490;17578;17609;25455;28973;52318	NA	Q96IU4;B4DQI4;F8W9U3	Q96IU4;B4DQI4;F8W9U3	ABHD14B	Alpha/beta hydrolase domain-containing protein 14B	210	8	NA	NA
6673	1	Gib-WT	0.00282	0.968	0.974	13127;27908;42527	NA	Q96IY1;Q5SY74;Q5SY76	Q96IY1;Q5SY74	NSL1	Kinetochore-associated protein NSL1 homolog	281	3	NA	NA
6674	1	Gib-WT	0.323	1.08e-5	9.22e-5	6824;8343;8344;32029;43629;49052;49261	NA	Q96IZ0;H0YHP5;H0YI16	Q96IZ0	PAWR	PRKC apoptosis WT1 regulator protein	340	7	NA	NA
6675	1	Gib-WT	0.0197	0.937	0.949	2443;10366;24726;37732;42271	NA	Q96IZ6	Q96IZ6	METTL2A	Methyltransferase-like protein 2A	378	5	NA	NA
6676	1	Gib-WT	0.18	0.0317	0.0517	2260;12720;39611;43679;48242;60201	6821;6822	Q96IZ7;C9JVB3;C9J367;H7C5Q0;C9J713;C9J8Q2;F8WDM0	Q96IZ7;C9JVB3;C9J367;H7C5Q0;C9J713	RSRC1	Serine/Arginine-related protein 53	334	6	NA	NA
6677	1	Gib-WT	-0.195	0.00277	0.00647	7194;19566;29047;50194	NA	Q96J01;D6RGZ2	Q96J01;D6RGZ2	THOC3	THO complex subunit 3	351	4	NA	NA
6678	1	Gib-WT	0.127	0.0131	0.0242	14011;17567;19255;20605;30731;49642;52600;58009	NA	Q96J84;Q5W0G0;Q5W0F9;B4DN67	Q96J84;Q5W0G0;Q5W0F9;B4DN67	KIRREL	Kin of IRRE-like protein 1	757	8	NA	NA
6679	1	Gib-WT	0.121	0.0508	0.0777	224;14200;14311;14451;17438;17495;22109;23026;43288;45640;57828	6823;6824;6825	Q96J92;K7ENT7;K7EPB3	Q96J92	WNK4	Serine/threonine-protein kinase WNK4	1243	11	NA	NA
6680	1	Gib-WT	0.0496	0.442	0.505	33088;45743;51815	NA	Q96JB2	Q96JB2	COG3	Conserved oligomeric Golgi complex subunit 3	828	3	NA	NA
6682	1	Gib-WT	0.141	0.0081	0.016	18871;20545;27066;30960;35048;41537;57650	NA	Q96JB5;J3QQY1;J3QRM1;J3QL86;J3KRI2;J3KRK4;J3KS63;J3QS62	Q96JB5;J3QQY1	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	506	7	NA	NA
6683	1	Gib-WT	-1.21	6.29e-11	3.41e-7	5007;15508;22290;30630;40484;43858;43960;58752;58957;59507	10177;10178	Q96JB6	Q96JB6	LOXL4	Lysyl oxidase homolog 4	756	10	NA	NA
6684	1	Gib-WT	-0.109	0.11	0.151	3488;3598;16788;18265;25868;31906;37470;40130;56065	NA	Q96JC1	Q96JC1	VPS39	Vam6/Vps39-like protein	886	9	NA	NA
6686	1	Gib-WT	0.0225	0.519	0.579	3171;10520;22477;26620;40286;44324;47662;51568;60001	6830;6831;6832;6833;6834;10180	Q96JG6;H0Y7Q2;H7BZP1;F8WDT1;F2Z3F0;A0A3B3IRQ5;C9JA29	Q96JG6;H0Y7Q2	CCDC132	Coiled-coil domain-containing protein 132	964	9	NA	NA
6687	1	Gib-WT	-0.179	0.00106	0.00292	1451;1919;4398;6388;7742;9338;13363;13616;15092;20546;27461;27845;29666;36396;37096;40409;41968;48865;50780;51519;53785;55318	6835;6836;6837;6838;6839;10181	Q96JH7	Q96JH7	VCPIP1	Deubiquitinating protein VCIP135	1222	22	NA	NA
6688	1	Gib-WT	-0.017	0.85	0.877	12606;46269;59744	NA	Q96JI7;C4B7M2;A0A075B718;H0YLK7;H0YN34	Q96JI7;C4B7M2	SPG11	Spatacsin	2443	3	NA	NA
6689	1	Gib-WT	0.232	1.24e-4	5.38e-4	7099;14622;19148;39120;45028;46066	NA	Q96JJ7;B4DIE3;H3BRY0;H3BT89;H3BVI1;H3BPB3	Q96JJ7	TMX3	Protein disulfide-isomerase TMX3	454	6	NA	NA
6691	1	Gib-WT	-0.32	1.75e-4	6.95e-4	12848;16509;21414;24027;24741;28934;34526;37672;41706;49618;57466;59584;59668	6842;6843;6844;6845;6846	Q96JM2;H3BLX4;H0Y6H9	Q96JM2	ZNF462	Zinc finger protein 462	2506	13	NA	NA
6692	1	Gib-WT	-0.236	0.00361	0.00808	643;5964;8999;10740;15225;19456;20945;22389;25593;26984;27689;27892;27951;28013;28019;28020;28414;28968;29617;34975;37094;41927;43312;44095;46119;47236;47521;48309;49548;50120;50126;50436;53072	6847;6848;6849;6850;6851;6852;6853;6854;6855;6856;6857;6858;6859;6860;6861;6862;6863;6864;6865;6866;6867;6868;6869	Q96JM3;S4R3K0;A0A2R8Y735;A0A2R8Y4S6	Q96JM3	CHAMP1	Chromosome alignment-maintaining phosphoprotein 1	812	33	NA	NA
6693	1	Gib-WT	-0.402	7.79e-4	0.00226	5491;7836;10090;33364;42630;50349;51823	6870;6871;6872;6873	Q96JM7;E9PLL7;E9PI01	Q96JM7	L3MBTL3	Lethal(3)malignant brain tumor-like protein 3	780	7	NA	NA
6694	1	Gib-WT	0.0112	0.833	0.862	2697;8445;11729;22562;39734;48292;52906	6874	Q96JQ2;G3V3D8	Q96JQ2	CLMN	Calmin	1002	7	NA	NA
6695	1	Gib-WT	0.141	0.103	0.143	4222;4223;7089;28804;50201;56958	NA	Q96K17;E9PL10	Q96K17;E9PL10	BTF3L4	Transcription factor BTF3 homolog 4;Transcription factor BTF3	158	5	NA	NA
6698	1	Gib-WT	-0.0586	0.2	0.254	1658;1746;2173;6492;8285;9707;13320;14425;16972;26333;30126;32129;44651;45356;46660;46867;49003;49361;58316;59115	6876;6877;10182	Q96K76	Q96K76	USP47	Ubiquitin carboxyl-terminal hydrolase 47	1375	20	NA	NA
6700	1	Gib-WT	0.264	3.21e-4	0.0011	28032;28334;32901;43808;49246;58725	NA	Q96KA5;G5E9Z2	Q96KA5;G5E9Z2	CLPTM1L	Cleft lip and palate transmembrane protein 1-like protein	538	6	NA	NA
6701	1	Gib-WT	-0.354	9.12e-4	0.00257	1986;9405;11090;25520;46724	NA	Q96KB5;E5RFX4	Q96KB5;E5RFX4	PBK	Lymphokine-activated killer T-cell-originated protein kinase	322	5	NA	NA
6702	1	Gib-WT	0.238	5.13e-4	0.00159	35474;55771;59944	NA	Q96KC2;Q9Y689	Q96KC2;Q9Y689	ARL5B;ARL5A	ADP-ribosylation factor-like protein 5B;ADP-ribosylation factor-like protein 5A	179	3	NA	NA
6703	1	Gib-WT	0.465	8.66e-6	8.04e-5	7427;43981;49629	6878;6879	Q96KC8	Q96KC8	DNAJC1	DnaJ homolog subfamily C member 1	554	3	NA	NA
6705	1	Gib-WT	-0.0687	0.144	0.191	349;10939;18120;18711;19427;34485;44943;49551	6880;6881;10183	Q96KM6	Q96KM6	ZNF512B	Zinc finger protein 512B	892	8	NA	NA
6706	1	Gib-WT	-0.68	2.44e-6	3.68e-5	788;7222;15809;30789;33901;36390;53407	10184;10185	Q96KN1	Q96KN1	FAM84B	Protein FAM84B	310	7	NA	NA
6707	1	Gib-WT	-0.242	1.74e-5	1.27e-4	9993;18159;18519;18680;22000;26372;33926;36566;39487	NA	Q96KP1;Q2MDF5	Q96KP1	EXOC2	Exocyst complex component 2	924	9	NA	NA
6708	1	Gib-WT	-0.0729	0.0917	0.129	10127;12272;35632;40861;51201;53603;59630;60106;60178	NA	Q96KP4;J3QKT2;J3QQN6;J3QR27;J3QLU1;J3QKQ0;J3QRD0;J3QRA8;J3QL02;J3KSV5;A0A087WYZ1;J3KSS4;J3KRD5;A0A087WVS2;J3QRP4;J3QRH4	Q96KP4	CNDP2	Cytosolic non-specific dipeptidase	475	9	NA	NA
6709	1	Gib-WT	0.194	1.27e-4	5.44e-4	2903;9460;11302;12181;12182;17186;20289;22425;25481;25982;29172;33063;34430;35067;35749;38659;39820;41431;42721;43587;48944;49163;56660;57263	6882	Q96KR1;H0Y8W1	Q96KR1	ZFR	Zinc finger RNA-binding protein	1074	24	NA	NA
6712	1	Gib-WT	-0.519	2.18e-6	3.46e-5	115;680;4882;6189;43992;46349;50222	6883;6884;6885	Q96L73	Q96L73	NSD1	"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific"	2696	7	NA	NA
6713	1	Gib-WT	0.145	0.0029	0.00674	355;2888;4313;4674;6034;12552;15521;17673;29460;33987;34406;46026;52395;52664;52665;54320;54406;54407	5718;6886;6887;9966;10186	Q96L91;A0A0A0MR70;A0A0A0MR72;A0A0A0MR80	Q96L91	EP400	E1A-binding protein p400	3159	18	NA	NA
6714	1	Gib-WT	-0.128	0.0224	0.0382	984;11954;11958;20000;21109;25158;36950;38359;39630;42438;50280;54234	NA	Q96L92;A0A5H1ZRP6;A0A2R8Y871;C9JSM2;O60759	Q96L92;A0A5H1ZRP6	SNX27	Sorting nexin-27	541	12	NA	NA
6715	1	Gib-WT	-0.245	0.00233	0.00556	12413;25606;26658;33001;54360	NA	Q96L93;A0A1B0GTU3	Q96L93;A0A1B0GTU3	KIF16B	Kinesin-like protein KIF16B	1317	5	NA	NA
6716	1	Gib-WT	0.415	2.34e-5	1.57e-4	2261;27648;29990;30445;40508	10187	Q96LA8;A0A3B3ITK4	Q96LA8;A0A3B3ITK4	PRMT6	Protein arginine N-methyltransferase 6	375	5	NA	NA
6717	1	Gib-WT	-0.297	2.16e-5	1.48e-4	7130;9291;14948;19679;24351;25527;26022;34628;41242;47819;52707	NA	Q96LB3;E5RIF0;E5RH29;A0A3B3IT46;E5RGX6	Q96LB3	IFT74	Intraflagellar transport protein 74 homolog	600	11	NA	NA
6718	1	Gib-WT	-0.211	4.23e-5	2.42e-4	3545;18258;19340;20675;20676;29480;29484;34927;54470;56011	6888	Q96LD4;K7EJ63;A0A0M3HER3	Q96LD4	TRIM47	Tripartite motif-containing protein 47	638	10	NA	NA
6719	1	Gib-WT	-0.434	8.24e-6	7.79e-5	28660;44023;57917	NA	Q96LJ7;H0YNC2	Q96LJ7	DHRS1	Dehydrogenase/reductase SDR family member 1	313	3	NA	NA
6722	1	Gib-WT	0.267	0.394	0.458	10917;14443;32002;55639;60636	6890	Q96LT9;X6RLP6;H0YEB8	Q96LT9	RNPC3	RNA-binding protein 40	517	5	NA	NA
6725	1	Gib-WT	0.167	0.0105	0.02	2672;21889;45525;50533	NA	Q96M27	Q96M27	PRRC1	Protein PRRC1	445	4	NA	NA
6727	1	Gib-WT	0.472	0.00899	0.0175	16269;32650;52053	6891	Q96M89;H7C005;H7BZ08	Q96M89;H7C005	CCDC138	Coiled-coil domain-containing protein 138	665	3	NA	NA
6730	1	Gib-WT	-0.0275	0.692	0.741	4117;10485;28960;35582;46866	NA	Q96ME1;H0Y6I6	Q96ME1;H0Y6I6	FBXL18	F-box/LRR-repeat protein 18	805	5	NA	NA
6731	1	Gib-WT	0.123	0.0563	0.0852	4857;7649;10379;15232;20678;22961;25627;47892;55614	6892	Q96MG7	Q96MG7	NDNL2	Melanoma-associated antigen G1	304	9	NA	NA
6732	1	Gib-WT	0.624	9.56e-8	6.73e-6	10460;16806;22482;32998;33549;35183;42277;52772	6893;6894	Q96MH2;K7ESM2;K7ELS4;K7EJA3;K7ERG7;K7EIM4	Q96MH2	HEXIM2	Protein HEXIM2	286	8	NA	NA
6735	1	Gib-WT	0.147	0.0052	0.011	465;572;29591;38471;58825	10189	Q96MW1;Q86WV7;K7ER24	Q96MW1;Q86WV7	CCDC43	Coiled-coil domain-containing protein 43	224	5	NA	NA
6737	1	Gib-WT	-0.13	0.00959	0.0184	19103;19961;21724;34155;40662;57925	NA	Q96MX6;Q8ND98;H7C389	Q96MX6;Q8ND98	WDR92;DKFZp434B156	WD repeat-containing protein 92	357	6	NA	NA
6741	1	Gib-WT	-0.094	0.154	0.203	693;2188;34443;37109	6902	Q96N66;H7C2M4;C9J4E9;A0A0G2JNX6;A9C4B8	Q96N66	MBOAT7	Lysophospholipid acyltransferase 7	472	4	NA	NA
6742	1	Gib-WT	-0.242	1.15e-4	5.08e-4	2565;10352;10881;11141;13344;14927;22314;25397;28115;30690;32471;33236;33722;36327;40495;40616;42299;42300;46632;46872;47125;47616;48210;52084;52653;53440;56189	6903;6904;6905;6906;6907;6908;10195	Q96N67;A0A1B0GUE9;A0A1B0GWE0;A0A1B0GVW2;A0A0C4DGY6;A0A0U1RQJ5;A0A0U1RRC1;A0A0U1RR97;A0A0U1RQT6	Q96N67	DOCK7	Dedicator of cytokinesis protein 7	2140	27	NA	NA
6744	1	Gib-WT	-0.0465	0.22	0.276	4214;9289;26852;42811	6909	Q96NB3;J3QQQ3	Q96NB3	ZNF830	Zinc finger protein 830	372	4	NA	NA
6745	1	Gib-WT	-0.0763	0.252	0.311	9575;49079;53410	NA	Q96NC0;R4GMX9;R4GNG8	Q96NC0;R4GMX9;R4GNG8	ZMAT2	Zinc finger matrin-type protein 2	199	3	NA	NA
6746	1	Gib-WT	-0.703	1.94e-6	3.28e-5	9239;9866;19777;29291;57211	NA	Q96NE9;H0YJ19;G3V2L4;H0YJC1	Q96NE9;H0YJ19	FRMD6	FERM domain-containing protein 6	622	5	NA	NA
6751	1	Gib-WT	-0.187	0.00165	0.0042	22410;40901;58888	NA	Q96NX8	Q96NX8	STX16	NA	202	3	NA	NA
6752	1	Gib-WT	0.676	3.93e-8	4.09e-6	2505;3110;6804;20325;28953;30744;34519;36654;36655;40240;40806;50315	10196	Q96P11;Q63ZY6;Q3KNT7	Q96P11	NSUN5	Probable 28S rRNA (cytosine-C(5))-methyltransferase	429	12	NA	NA
6753	1	Gib-WT	0.0127	0.769	0.807	3540;25895;49683;54576;56352	6911;6912	Q96P16;A0A0C4DGQ6;K7ER50;K7EP82	Q96P16;A0A0C4DGQ6	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A	312	5	NA	NA
6754	1	Gib-WT	-0.0681	0.0644	0.0953	11925;24377;29444;30589;55398;59943	6913	Q96P47;H0Y873;E7ESL9;H7C4F1;C9J975;C9J8Z2;H7C5G0;H7C4U6;A0A087X044	Q96P47;H0Y873;E7ESL9	AGAP3	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"	875	6	NA	NA
6755	1	Gib-WT	0.128	0.0218	0.0374	2645;6003;11693;17860;29516;30211;31959;33597;34745;59591	6914;6915	Q96P48;E7EU13;A0A0A0MSJ2;F5GWN4;F8WBT0	Q96P48;E7EU13	ARAP1	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"	1450	10	NA	NA
6756	1	Gib-WT	0.0763	0.311	0.373	22180;40074;54453	NA	Q96P53	Q96P53	WDFY2	WD repeat and FYVE domain-containing protein 2	400	3	NA	NA
6757	1	Gib-WT	-0.197	0.00151	0.00389	2814;2961;6268;13371;13706;18758;23014;31745;40439;42570;52928;55935	NA	Q96P70	Q96P70	IPO9	Importin-9	1041	12	NA	NA
6758	1	Gib-WT	0.363	1.52e-4	6.26e-4	2251;5595;7619;50492;50685;56670	NA	Q96PD2	Q96PD2	DCBLD2	"Discoidin, CUB and LCCL domain-containing protein 2"	775	6	NA	NA
6762	1	Gib-WT	0.15	0.00327	0.00739	392;609;2701;3754;4690;4694;4695;5431;5432;5447;20681;21039;24516;25555;27374;28793;32342;33328;40111;41479;43185;43209;52736;52774;55705;60384	6918;6919;6920;10198	Q96PK6;A0A0A6YYI9;F8WDX3;A0A0A0MSL8;B8ZZ74	Q96PK6	RBM14	RNA-binding protein 14	669	26	NA	NA
6763	1	Gib-WT	-0.0137	0.762	0.801	18083;18813;30615;41391;56691	NA	Q96PM9;F8VQ24;F8VRY0;H0YI55;F8VSJ1	Q96PM9	ZNF385A	Zinc finger protein 385A	386	5	NA	NA
6765	1	Gib-WT	-0.111	0.0499	0.0766	4808;4945;24469;24532;33131;42677;43382;55459;56772;59019	6921;6922	Q96PU4;A0A0A0MSQ3;B1AL33	Q96PU4	UHRF2	E3 ubiquitin-protein ligase UHRF2	802	9	NA	NA
6766	1	Gib-WT	0.672	4.76e-6	5.45e-5	5593;6122;9895;9896;19987;31639;31741;32857;40588;46903;53033;53097;54166	6923;6924;6925;6926;10199	Q96PU5;A0A6Q8PHJ5;A0A6Q8PGP5;A0A6Q8PFI7;A0A1B0GVY1;K7ERN1;A0A6Q8PG51;A0A6Q8PG81;K7EKL1;K7ENS6	Q96PU5;A0A6Q8PHJ5;A0A6Q8PGP5;A0A6Q8PFI7;A0A1B0GVY1;K7ERN1;A0A6Q8PG51	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like	975	13	NA	NA
6767	1	Gib-WT	-0.121	0.0132	0.0244	8910;13086;26979;31345;31900;31901;40786;43986;52564	NA	Q96PU8;F5GXS8;F5GYM3;H0YG47;H0YGD6;F5H8C8;F5GYT7;F5H5U6	Q96PU8	QKI	Protein quaking	341	9	NA	NA
6768	1	Gib-WT	-0.0104	0.832	0.861	2797;17047;17135;30530;31464;31465;32685;55608;57019	6927	Q96PY5;C9IZY8	Q96PY5;C9IZY8	FMNL2	Formin-like protein 2	1086	9	NA	NA
6769	1	Gib-WT	0.0587	0.584	0.641	2788;14604;15680;48246;50318	6928;6929;6930	Q96PY6	Q96PY6	NEK1	Serine/threonine-protein kinase Nek1	1258	5	NA	NA
6770	1	Gib-WT	-0.294	1.05e-5	8.97e-5	9902;12788;13908;15448;16741;18182;25633;25634;30582;33280;37247;43057;51458;52478	10200	Q96PZ0;E7EUH7;H0Y863	Q96PZ0;E7EUH7	PUS7	Pseudouridylate synthase 7 homolog	661	14	NA	NA
6771	1	Gib-WT	0.0413	0.727	0.772	12990;17175;29874;48250	6931	Q96Q05;H0YBR0;A0A0J9YWK7	Q96Q05;H0YBR0	TRAPPC9	Trafficking protein particle complex subunit 9	1148	4	NA	NA
6772	1	Gib-WT	0.0976	0.0111	0.0209	5520;19927;26438;30781;56974;60244	NA	Q96Q11;A0A494C1L4;F8W8C3;A0A494C181;A0A494C1D4	Q96Q11	TRNT1	"CCA tRNA nucleotidyltransferase 1, mitochondrial"	434	6	NA	NA
6773	1	Gib-WT	0.23	1.99e-4	7.71e-4	4476;4568;5795;7240;8964;13861;25870;26668;28685;32069;33223;37216;37326;39345;39863;40393;42533;45189;46197;46899;49189;49230;49312;51986;53459;55407;56657;57085;57949;58805;60361;60570	6932;10201	Q96Q15;J3KRA9;H3BQN7;I3L144;I3L0W2;E9PNP6;I3L400;Q6P435	Q96Q15;J3KRA9	SMG1	Serine/threonine-protein kinase SMG1	3661	32	NA	NA
6775	1	Gib-WT	-0.175	0.00293	0.00679	3621;8669;12837;13335;17407;31343;33463;33971;37797;54837;56305	NA	Q96Q89	Q96Q89	KIF20B	Kinesin-like protein KIF20B	1820	11	NA	NA
6777	1	Gib-WT	0.108	0.00308	0.00709	1361;15015;16830;19403;19981;25015;31069;33388;36446;41975;48048;49650;53263	6937;6938	Q96QC0	Q96QC0	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	940	13	NA	NA
6778	1	Gib-WT	-0.568	4.29e-6	5.1e-5	1881;45960;50102	NA	Q96QD8;F8VUY8	Q96QD8	SLC38A2	Sodium-coupled neutral amino acid transporter 2	506	3	NA	NA
6779	1	Gib-WT	0.162	0.00441	0.00954	5661;31761;34247;50245	6939	Q96QD9;H9KVD1;H9KVD5	Q96QD9;H9KVD1	FYTTD1	UAP56-interacting factor	318	4	NA	NA
6781	1	Gib-WT	0.0479	0.298	0.36	40150;46104;55190	NA	Q96QE5;J3KTG7	Q96QE5	TEFM	"Transcription elongation factor, mitochondrial"	360	3	NA	NA
6782	1	Gib-WT	-0.0781	0.14	0.186	19273;45987;46736;54682	NA	Q96QG7;E9PR67	Q96QG7	MTMR9	Myotubularin-related protein 9	549	4	NA	NA
6783	1	Gib-WT	-0.0668	0.06	0.0899	848;1525;11276;11342;22070;22605;25363;25944;32175;33559;39289;42839;44823;53052;57146;59723	6941	Q96QK1;I3L4S0;A0A1W2PP10;A0A3B3ITD4	Q96QK1	VPS35	Vacuolar protein sorting-associated protein 35	796	16	NA	NA
6784	1	Gib-WT	0.371	2.17e-4	8.23e-4	9598;19270;19284;19312;23777;30942;36388;42961	6942;6943;6944	Q96QR8	Q96QR8	PURB	Transcriptional activator protein Pur-beta	312	8	NA	NA
6785	1	Gib-WT	-0.124	0.0656	0.0969	13386;17329;24787;52339;52477;53448;56404	6945;10203;10204;10205;10206	Q96QT6;C9J9G2;K7EPF7;K7ENU0;K7ERZ4;K7EJ43;K7EJN7	Q96QT6;C9J9G2	PHF12	PHD finger protein 12	1004	7	NA	NA
